intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096533996271,360,105,32,689959,1337678,false,
1788096536754504,116,105,32,693359,1332265,true,
1788096539941233,897,105,32,691318,1329282,true,
1788096541644338,34,105,32,722856,1486083,true,
1788096542649985,317,105,32,1386762,2156289,true,
1788096542951461,840,105,32,2751368,3571086,true,
1788096545479837,429,105,32,1936027,2700252,true,
1788096546436223,402,105,32,2636833,3398558,true,
1788096551721850,538,105,32,664972,1302315,true,
1788096552306293,786,105,32,1485615,2244995,true,
1788096556428131,947,105,32,667787,1298922,true,
1788096557922414,974,105,32,768368,1532505,true,
1788096559290879,1039,105,32,1069976,1836508,true,
1788096560262814,570,105,32,1759259,2532056,true,
1788096560730232,396,105,32,2969651,3733657,true,
1788096562834318,713,105,32,2519931,3288140,true,
1788096563124217,421,105,32,3884404,4638425,true,
1788096565042473,477,105,32,3622348,4391440,true,
1788096568221319,554,105,32,2074484,2842083,true,
1788096568488231,79,105,32,3467807,4231686,true,
1788096572147767,791,105,32,1465102,2217604,true,
1788096572444518,415,105,32,2788335,3542257,true,
1788096574827389,570,105,32,2024473,2781719,true,
