intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095444803467,924,105,32,825762,1702903,false,
1788095446668936,120,105,32,991229,1786388,false,
1788095446880431,300,105,32,2339790,3057888,false,
1788095448051767,486,105,32,2680389,3382059,false,
1788095451281069,382,105,32,944983,1635744,true,
1788095454027862,641,105,32,549256,1205844,true,
1788095455147357,833,105,32,849433,1552551,true,
1788095456086928,340,105,32,1371693,2076737,true,
1788095458182375,477,105,32,744772,1446112,true,
1788095460406652,844,105,32,574477,1280659,true,
1788095460788486,373,105,32,1657702,2367838,true,
1788095460878562,85,105,32,3034668,3734513,true,
1788095463071288,962,105,32,2295000,2999185,true,
1788095463157101,295,105,32,3662989,4361920,true,
1788095463604886,373,105,32,4671755,5368104,true,
1788095464918464,1021,105,32,4806100,5512153,true,
1788095465802692,619,105,32,5371729,6069856,true,
1788095467290400,546,105,32,5349508,6047823,true,
1788095469653607,728,105,32,4432844,5134565,true,
1788095470277712,968,105,32,5265908,5964872,true,
1788095471945376,731,105,32,5052685,5748161,true,
1788095475931955,227,105,32,2529019,3221688,true,
1788095476232808,999,105,32,3673102,4374335,true,
1788095484217985,356,105,32,544105,1122383,true,
1788095485411566,59,105,32,570524,1151489,true,
1788095487374050,187,105,32,564068,1206592,true,
1788095488269291,537,105,32,1057337,1765624,true,
1788095488939517,1032,105,32,1861493,2572640,true,
