intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096481279334,333,105,32,1188779,2049490,false,
1788096485894427,733,105,32,683644,1322571,true,
1788096487737568,673,105,32,708527,1401228,true,
1788096487926903,1044,105,32,2100279,2860811,true,
1788096489383331,698,105,32,2301470,3071348,true,
1788096489783844,581,105,32,3563697,4330324,true,
1788096490327528,337,105,32,4669341,5433799,true,
1788096490524737,962,105,32,6100077,6862397,true,
1788096491594629,399,105,32,6685166,7443857,true,
1788096492141014,651,105,32,7785312,8546442,true,
1788096496233773,877,105,32,5341191,6105558,true,
1788096496387220,336,105,32,6831974,7592074,true,
1788096501894259,443,105,32,2964850,3728111,true,
1788096503181415,410,105,32,3306453,4074415,true,
1788096503405970,756,105,32,4729659,5489756,true,
1788096510540351,726,105,32,684217,1317891,true,
1788096511052349,751,105,32,1610059,2377231,true,
1788096516307145,304,105,32,681104,1314896,true,
1788096517347162,676,105,32,1011634,1652534,true,
1788096521274787,441,105,32,684923,1326349,true,
1788096524056521,471,105,32,697491,1334407,true,
1788096524235348,655,105,32,1919848,2677033,true,
