intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096330062038,1041,25,32,191350,811838,false,
1788096330108039,975,25,32,965187,1598443,false,
1788096337807965,427,25,32,177415,779545,true,
1788096338677744,1009,25,32,189213,811335,true,
1788096338794345,1014,25,32,891370,1515258,true,
1788096338921592,184,25,32,1587853,2216884,true,
1788096341439944,158,25,32,179721,805656,true,
1788096342700055,98,25,32,186299,810570,true,
1788096345225532,1008,25,32,176063,795063,true,
1788096346083616,232,25,32,192979,843182,true,
1788096347250863,526,25,32,184264,918388,true,
1788096347819157,332,25,32,590267,1342785,true,
1788096350796975,468,25,32,174400,790622,true,
1788096351223128,765,25,32,565006,1239627,true,
1788096352370762,190,25,32,331713,1084106,true,
1788096355329147,609,25,32,174406,793621,true,
1788096356267855,199,25,32,188376,829806,true,
1788096356364369,547,25,32,966037,1729895,true,
1788096359550517,547,25,32,186880,803823,true,
1788096364310255,566,25,32,174397,784000,true,
1788096364356642,935,25,32,934041,1557461,true,
1788096364686818,546,25,32,1434986,2061846,true,
1788096366626143,671,25,32,324583,958681,true,
1788096366955099,763,25,32,854643,1609352,true,
1788096369252328,986,25,32,180692,863107,true,
1788096372475525,13,25,32,173960,784507,true,
1788096372602552,619,25,32,856846,1483113,true,
