intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095643556968,298,425,32,2382225,3006707,false,
1788095646910813,880,425,32,2726330,3503704,true,
1788095653033347,674,425,32,2384673,3147832,true,
1788095655477563,693,425,32,3761445,4519440,true,
1788095657544217,732,425,32,5513090,6256957,true,
1788095658491206,750,425,32,8338353,9092601,true,
1788095660926374,731,425,32,9698870,10452972,true,
1788095664686946,225,425,32,9711455,10466452,true,
1788095664906914,53,425,32,13267295,14016212,true,
1788095665764332,690,425,32,16158794,16914865,true,
1788095667608531,422,425,32,18083023,18831208,true,
1788095667985622,768,425,32,21472293,22207554,true,
1788095669339083,541,425,32,23846655,24594794,true,
1788095669589625,385,425,32,27324680,28082657,true,
1788095669681959,1065,425,32,30967046,31723146,true,
1788095669995290,82,425,32,34461041,35219432,true,
1788095670111191,532,425,32,38101301,38889095,true,
1788095670172418,988,425,32,42734780,43565956,true,
1788095673346474,612,425,32,43806708,44557214,true,
1788095674158005,997,425,32,46666039,47409243,true,
1788095674466916,356,425,32,50097603,50889070,true,
1788095674488417,379,425,32,53884567,54653800,true,
1788095675496951,1003,425,32,56705219,57463265,true,
1788095676200773,1081,425,32,59763858,60516675,true,
1788095676278597,588,425,32,63414432,64169468,true,
1788095676494199,400,425,32,66951426,67710851,true,
1788095684727941,754,425,32,62463730,63217297,true,
1788095685267781,321,425,32,65663333,66420549,true,
