intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096139663526,479,25,32,269389,919552,false,
1788096139821547,705,25,32,977888,1721634,false,
1788096149494322,817,25,32,171148,769026,true,
1788096164088437,953,25,32,178035,780558,true,
1788096165010679,275,25,32,182559,787801,true,
1788096165509431,590,25,32,471934,1063473,true,
1788096165554060,650,25,32,1206117,1800342,true,
1788096167183211,179,25,32,358562,954226,true,
1788096167397268,679,25,32,928720,1530436,true,
1788096168141908,673,25,32,977106,1590649,true,
1788096170253292,260,25,32,179512,786438,true,
1788096175687899,614,25,32,169788,767807,true,
1788096177534643,534,25,32,176871,776081,true,
1788096180040312,989,25,32,174091,780432,true,
