intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788100997436770,149,425,32,3739356,4566182,false,
1788101001342776,560,425,32,4750428,5677507,false,
1788101001519426,472,425,32,9137339,9954003,false,
1788101001598511,242,425,32,13598242,14405529,true,
1788101002504088,676,425,32,16925468,17769510,true,
1788101008712670,78,425,32,15241620,16051316,true,
1788101015220692,196,425,32,12972754,13775779,true,
1788101015986219,901,425,32,16434097,17237553,true,
1788101016481333,709,425,32,20163602,20966139,true,
1788101016484101,189,425,32,24373273,25181277,true,
1788101018986500,804,425,32,26087289,26887789,true,
1788101019830595,490,425,32,29466016,30269465,true,
1788101020017570,619,425,32,33500441,34306334,true,
1788101020279688,33,425,32,37454706,38268220,true,
1788101020387201,562,425,32,41569223,42380873,true,
1788101026707093,704,425,32,39465086,40272169,true,
1788101031275836,795,425,32,39111372,39922678,true,
1788101032143606,975,425,32,42464882,43268510,true,
1788101035392477,53,425,32,43431243,44233300,true,
1788101036519150,269,425,32,46515981,47322058,true,
1788101036819149,691,425,32,50434155,51239188,true,
1788101041383560,538,425,32,50090030,50893574,true,
