intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096055707865,485,425,32,2776446,3589034,false,
1788096058557661,602,425,32,3893050,4712034,true,
1788096061787714,533,425,32,4947255,5788920,true,
1788096064401565,81,425,32,6148653,6892323,true,
1788096064950135,102,425,32,9321393,10059794,true,
1788096065485481,83,425,32,12485279,13229427,true,
1788096066702145,690,425,32,14968564,15712527,true,
1788096070255585,833,425,32,15109325,15851289,true,
1788096071727909,881,425,32,17353392,18096616,true,
1788096072119819,293,425,32,20681226,21417438,true,
1788096078683030,682,425,32,17817244,18554678,true,
1788096078798895,134,425,32,21406337,22151725,true,
1788096084718941,409,425,32,19194696,19948295,true,
1788096085480168,167,425,32,22150136,22880980,true,
1788096086740444,522,425,32,24593111,25333811,true,
1788096086770440,971,425,32,28269648,29008596,true,
1788096087523527,425,425,32,31205966,31943798,true,
1788096088031272,448,425,32,34385434,35131615,true,
1788096092148626,74,425,32,33950248,34698119,true,
1788096093129019,45,425,32,36671210,37407141,true,
1788096093526976,766,425,32,39968824,40702699,true,
