intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095593372366,266,105,32,703890,1471029,false,
1788095593755990,207,105,32,2127217,2932286,false,
1788095600608866,366,105,32,555252,1130531,true,
1788095608222861,127,105,32,537122,1085291,true,
1788095617995882,162,105,32,525194,1077547,true,
1788095618395424,661,105,32,1240209,1794150,true,
1788095619146717,295,105,32,1620370,2177087,true,
1788095619389318,701,105,32,2517773,3083716,true,
1788095620609985,585,105,32,2465987,3044862,true,
1788095621911373,872,105,32,2350245,2931215,true,
1788095626898146,235,105,32,547969,1133082,true,
1788095636709050,646,105,32,531051,1081182,true,
