intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095300652528,305,25,32,237754,876780,false,
1788095301661491,455,25,32,222628,780817,false,
1788095304534256,307,25,32,190866,743603,true,
1788095305201048,977,25,32,233577,799030,true,
1788095307226900,308,25,32,148278,712025,true,
1788095310072284,104,25,32,150818,700943,true,
1788095315096001,771,25,32,150200,695203,true,
1788095316320609,672,25,32,149513,695613,true,
1788095322595574,622,25,32,148518,692340,true,
1788095326048784,425,25,32,144309,692393,true,
1788095326735112,841,25,32,159280,706249,true,
1788095329122830,400,25,32,151181,695371,true,
1788095334762676,753,25,32,145477,699516,true,
1788095340019830,348,25,32,152315,702413,true,
1788095341566146,404,25,32,163962,723229,true,
1788095342418206,258,25,32,145781,690256,true,
1788095343009623,473,25,32,260114,806356,true,
