intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096631248114,218,425,32,3652416,4492371,false,
1788096631710215,146,425,32,7627305,8447627,false,
1788096634711309,785,425,32,9047232,9873912,false,
1788096636185246,790,425,32,11941581,12764474,true,
1788096637436883,790,425,32,15061527,15886656,true,
1788096637711274,112,425,32,19197422,23290156,true,
1788096638121729,126,425,32,26612759,27495642,true,
1788096638655496,668,425,32,30483077,31288966,true,
1788096639810945,622,425,32,33614151,34695752,true,
1788096640640281,333,425,32,37660872,38657307,true,
1788096641916124,432,425,32,41105120,41958558,true,
1788096643410311,794,425,32,43981750,44855303,true,
1788096649730123,108,425,32,42059746,42916998,true,
1788096650247106,332,425,32,45898034,46671659,true,
1788096650934502,322,425,32,49260299,50041339,true,
1788096652806753,467,425,32,51434153,52212764,true,
1788096655307488,47,425,32,52982372,53787300,true,
1788096659651748,339494,425,32,52846468,53641753,true,
1788096658311539,1679690,425,32,58526676,59302230,true,
1788096663554991,1349,425,32,57299229,58092262,true,
1788096666703005,822,425,32,58169618,58940709,true,
1788096667384309,519,425,32,61474960,62236430,true,
1788096669726950,522,425,32,63086399,63856221,true,
1788096670112906,550,425,32,66682220,67453708,true,
1788096670660589,268,425,32,70104081,70869594,true,
1788096670701639,311,425,32,74083915,74921930,true,
1788096672667845,1018,425,32,76496182,77332158,true,
1788096674084980,480,425,32,79388167,80209179,true,
