intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096279808811,955,25,32,196960,860842,false,
1788096280979363,978,25,32,215950,1032901,false,
1788096282678577,887,25,32,179928,873631,false,
1788096283710489,253,25,32,205286,940946,false,
1788096289904321,850,25,32,174418,782582,true,
1788096291012390,1001,25,32,181425,791840,true,
1788096292940848,526,25,32,178718,791876,true,
1788096295977132,316,25,32,173736,779711,true,
1788096298814578,106,25,32,180992,789552,true,
1788096299029506,187,25,32,770197,1391112,true,
1788096302556597,364,25,32,175302,784877,true,
1788096307984329,53,25,32,172737,783895,true,
1788096309272700,983,25,32,184315,790618,true,
1788096311927336,759,25,32,178805,789550,true,
1788096312513065,691,25,32,398715,1021350,true,
1788096312677241,402,25,32,1057364,1678965,true,
1788096313413469,97,25,32,1143681,1775569,true,
1788096314658868,878,25,32,733024,1366085,true,
1788096315513679,529,25,32,714727,1352635,true,
1788096316781664,736,25,32,284700,1014319,true,
1788096318928435,26,25,32,185586,810163,true,
1788096319640607,1013,25,32,311579,1053671,true,
1788096323403422,282,25,32,180891,794622,true,
