intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096582360057,656,105,32,1592241,2349666,false,
1788096583453758,937,105,32,2118289,2893149,false,
1788096586136957,197,105,32,1094776,1852176,true,
1788096586856582,302,105,32,2023154,2787042,true,
1788096590887168,1817,105,32,667096,1335957,true,
1788096594658037,38,105,32,676138,1311323,true,
1788096596031413,51,105,32,723975,1424914,true,
1788096597123579,368,105,32,1228850,1996784,true,
1788096598758662,766,105,32,1253493,2017094,true,
1788096598838271,410,105,32,2826678,3585545,true,
1788096599655902,478,105,32,3635432,4391323,true,
1788096605669662,327,105,32,691950,1330306,true,
1788096609710242,190,105,32,681623,1313939,true,
1788096610317273,1030,105,32,1438691,2105357,true,
1788096611333709,964,105,32,1982186,2742424,true,
1788096613039412,422,105,32,1930802,2694102,true,
1788096613558726,673,105,32,3064106,3830674,true,
1788096614281226,803,105,32,3994464,4756673,true,
1788096619698161,784,105,32,722940,1481573,true,
1788096622229105,37,105,32,692553,1395053,true,
1788096625715742,10,105,32,687168,1320320,true,
