intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095394150562,815,105,32,833801,1463432,false,
1788095395755661,435,105,32,595305,1188536,false,
1788095397472521,325,105,32,596612,1185759,true,
1788095398620574,302,105,32,662289,1250943,true,
1788095398778487,369,105,32,1718688,2383380,true,
1788095400225788,81,105,32,1644328,2311114,true,
1788095401243426,599,105,32,2014336,2680347,true,
1788095402582392,41,105,32,2037281,2719569,true,
1788095402690712,757,105,32,3340799,4029553,true,
1788095402863322,293,105,32,4602940,5288173,true,
1788095405675961,292,105,32,3235385,3937462,true,
1788095406643428,989,105,32,3737527,4455042,true,
1788095406844780,937,105,32,5018388,5715911,true,
1788095406984683,334,105,32,6347246,7045607,true,
1788095408554447,70,105,32,6235478,6944083,true,
1788095411812520,331,105,32,4451717,5151538,true,
1788095412138948,153,105,32,5590055,6288012,true,
1788095418639507,730,105,32,715493,1422837,true,
1788095420550516,60,105,32,653487,1351890,true,
1788095421863130,236,105,32,797093,1507053,true,
1788095422828537,1032,105,32,1306303,2006013,true,
1788095426303231,207,105,32,555761,1167752,true,
1788095427118756,426,105,32,1100627,1800453,true,
1788095427142334,766,105,32,2554535,3262687,true,
1788095428056676,947,105,32,3111421,3814903,true,
1788095428451955,374,105,32,4177574,4885437,true,
1788095428814435,447,105,32,5295422,5993294,true,
1788095429331667,82,105,32,6243101,6946408,true,
1788095432445682,83,105,32,4589058,5292824,true,
1788095433043009,71,105,32,5447294,6148374,true,
1788095437209464,754,105,32,2741334,3441451,true,
