intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096231540659,621,25,32,200530,892522,false,
1788096232427663,432,25,32,220350,1031421,false,
1788096235484834,13,25,32,176963,800135,false,
1788096236103531,1008,25,32,385608,1020602,true,
1788096236514124,295,25,32,841033,1593145,true,
1788096236727373,702,25,32,1617511,2371531,true,
1788096237972473,46,25,32,1367306,2115337,true,
1788096239253033,828,25,32,1081143,1832595,true,
1788096239294871,465,25,32,2033760,2788006,true,
1788096240027074,943,25,32,2298429,3053199,true,
1788096241100792,995,25,32,2225746,2967258,true,
1788096242060621,635,25,32,2249843,3003271,true,
1788096244964952,556,25,32,341898,1091103,true,
1788096248496763,439,25,32,178592,785044,true,
1788096253292510,837,25,32,169436,769536,true,
1788096253518756,394,25,32,733241,1349250,true,
1788096253592593,572,25,32,1473279,2093145,true,
1788096254258763,322,25,32,1627557,2253932,true,
1788096255240930,1012,25,32,1474937,2119333,true,
1788096258666413,607,25,32,175379,790164,true,
1788096259079952,290,25,32,576155,1300277,true,
1788096259395653,1048,25,32,1230535,1981042,true,
1788096265097954,439,25,32,175207,778900,true,
1788096269569216,344,25,32,169609,776202,true,
1788096269800046,586,25,32,738881,1354992,true,
1788096270136443,579,25,32,1217799,1834312,true,
1788096272061867,754,25,32,192580,823316,true,
1788096272974838,700,25,32,193655,824809,true,
1788096273215085,857,25,32,785094,1471275,true,
1788096274064595,183,25,32,871985,1623543,true,
