intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095847445228,186,425,32,2606821,3371509,false,
1788095848847599,317,425,32,4966440,5728262,false,
1788095849377815,636,425,32,8186044,8940279,true,
1788095850250571,770,425,32,11034460,11785716,true,
1788095851216520,737,425,32,13790036,14545545,true,
1788095851274196,361,425,32,17455294,18203328,true,
1788095851744923,656,425,32,20712150,21467519,true,
1788095854045075,1029,425,32,22121206,22888286,true,
1788095854097866,962,425,32,25806406,26563244,true,
1788095856800451,74,425,32,26827622,27582557,true,
1788095859752167,306,425,32,27605478,28360518,true,
1788095862082597,828,425,32,28997684,29745822,true,
1788095865146108,617,425,32,29658908,30407105,true,
1788095868171898,218,425,32,30334639,31091733,true,
1788095869724509,387,425,32,32500106,33256909,true,
1788095871000352,660,425,32,34946983,35694199,true,
1788095871461492,913,425,32,38208590,38963114,true,
1788095872045488,2480,425,32,41335521,42104921,true,
1788095872969831,342,425,32,44129350,44884600,true,
1788095873368167,847,425,32,47433535,48187731,true,
1788095873434146,624,425,32,51066199,51818906,true,
1788095875172286,70,425,32,53043976,53805129,true,
1788095876097028,1055,425,32,55836155,56594339,true,
1788095876391874,300,425,32,59252257,60006094,true,
1788095876879876,337,425,32,62462642,63218302,true,
1788095880884674,354,425,32,62170358,62924840,true,
1788095881062567,702,425,32,65705848,66450151,true,
1788095881211266,996,425,32,69265536,70010118,true,
1788095883767607,338,425,32,70422014,71172886,true,
1788095885310871,88,425,32,72576705,73331782,true,
