intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095962616862,948,425,32,3849415,4693145,false,
1788095963466480,40,425,32,6866920,7641646,false,
1788095967981192,13,425,32,6087987,6861870,true,
1788095969136874,87,425,32,8668333,9429903,true,
1788095969718297,790,425,32,11805318,12557143,true,
1788095969968400,50,425,32,15281673,16039464,true,
1788095970061182,78,425,32,18935238,19685095,true,
1788095977128971,493,425,32,15594042,16340847,true,
1788095979451233,1006,425,32,16983309,17741405,true,
1788095980393382,162,425,32,19753908,20514735,true,
1788095984900779,726,425,32,18994522,19744687,true,
1788095985246711,791,425,32,22371097,23126756,true,
1788095985965819,666,425,32,25382745,26137215,true,
1788095991063500,605,425,32,24013539,24759891,true,
1788095992926339,762,425,32,25866073,26629668,true,
1788095993681679,213,425,32,28835389,29593612,true,
1788095995199033,275,425,32,31046123,31798663,true,
1788095995283019,227,425,32,34683257,35431994,true,
1788095998108608,937,425,32,35587359,36344322,true,
1788095998950775,531,425,32,38480862,39225846,true,
1788095999162380,723,425,32,41978690,42736164,true,
1788096003585368,1021,425,32,41287668,42043144,true,
1788096006325924,42,425,32,42279327,43030995,true,
