intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096380357672,816,105,32,696198,1335924,false,
1788096381120828,532,105,32,1453282,2232091,false,
1788096382440364,792,105,32,1819068,2585056,false,
1788096386842936,934,105,32,695686,1332135,true,
1788096390637306,245,105,32,682684,1310037,true,
1788096392993609,990,105,32,695871,1335736,true,
1788096393836568,90,105,32,1333093,2104759,true,
1788096393936663,1019,105,32,2905339,3672214,true,
1788096395715012,1015,105,32,2796296,3561717,true,
1788096397493855,860,105,32,2681221,3447190,true,
1788096399896522,779,105,32,1934823,2707040,true,
1788096400230599,104,105,32,3260110,4023325,true,
1788096401083862,139,105,32,4066250,4836840,true,
1788096403291003,1026,105,32,3527032,4287856,true,
1788096404788240,715,105,32,3689054,4454109,true,
1788096407000911,883,105,32,3127077,3895731,true,
1788096409419458,570,105,32,2365741,3132028,true,
1788096411487322,710,105,32,1947909,2702982,true,
1788096412296424,545,105,32,2791076,3551186,true,
1788096412327159,10,105,32,4411026,5173472,true,
1788096412369679,194,105,32,6020749,6771729,true,
1788096413063721,121,105,32,6957208,7721311,true,
1788096416844059,748,105,32,4808009,5559444,true,
1788096419389647,631,105,32,3876393,4631045,true,
1788096420741463,823,105,32,4163344,4922675,true,
1788096421561600,268,105,32,4983825,5745872,true,
1788096422045139,624,105,32,6143708,6904431,true,
1788096422488996,231,105,32,7332318,8096451,true,
