intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095354897064,361,25,32,145161,698164,true,
1788095356506899,31,25,32,143184,687892,true,
1788095357836319,393,25,32,144665,696842,true,
1788095358557403,187,25,32,155697,711645,true,
1788095361661320,187,25,32,143677,698815,true,
1788095364475708,903,25,32,175280,722821,true,
1788095366534489,297,25,32,143621,691382,true,
1788095367152353,42,25,32,228978,778336,true,
1788095368661504,415,25,32,144598,696758,true,
1788095370048118,412,25,32,144958,707608,true,
1788095370455113,371,25,32,458141,1018169,true,
1788095374572273,270,25,32,160835,713346,true,
1788095374686236,1006,25,32,755917,1309223,true,
1788095375045794,305,25,32,1110424,1674201,true,
1788095376931414,121,25,32,148705,714595,true,
1788095377163724,828,25,32,647186,1209614,true,
1788095377655863,440,25,32,901360,1472264,true,
1788095382278083,860,25,32,146008,711997,true,
1788095382468636,575,25,32,685802,1249775,true,
1788095382718366,738,25,32,1169154,1736986,true,
1788095384775622,165,25,32,149363,720806,true,
1788095385796691,555,25,32,149403,719173,true,
1788095386222913,281,25,32,473331,1041936,true,
1788095388194129,873,25,32,145961,723102,true,
