intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095156794012,434,25,32,174179,761193,false,
1788095157269962,653,25,32,505519,1158298,false,
1788095160282879,744,25,32,208116,747451,false,
1788095162720069,729,25,32,142389,665142,true,
1788095165497899,939,25,32,142194,675620,true,
1788095168357963,509,25,32,160198,776338,true,
1788095175262565,393,25,32,142584,716505,true,
1788095177082161,99,25,32,142940,674075,true,
1788095181693485,746,25,32,141499,670715,true,
1788095183809279,948,25,32,144813,892187,true,
1788095186103328,846,25,32,164843,713046,true,
1788095186657852,995,25,32,296460,829097,true,
1788095196029884,778,25,32,142104,676321,true,
1788095197583390,138,25,32,137713,670648,true,
1788095198344050,792,25,32,145026,672985,true,
