intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095203889835,1025,25,32,197438,788416,false,
1788095206456031,995,25,32,139066,673168,false,
1788095216339600,464,25,32,141509,680533,true,
1788095217015588,584,25,32,146514,666459,true,
1788095217126615,11,25,32,691375,1219939,true,
1788095217471487,648,25,32,1016900,1531913,true,
1788095218438314,1006,25,32,706540,1220698,true,
1788095218731727,373,25,32,1068344,1582085,true,
1788095218950396,498,25,32,1509607,2028658,true,
1788095222322623,84,25,32,143474,662809,true,
1788095224042020,168,25,32,141080,670163,true,
1788095227172508,134,25,32,137591,665681,true,
1788095227850270,368,25,32,140808,665019,true,
1788095231615321,341,25,32,140750,669871,true,
1788095232971225,470,25,32,138877,670103,true,
1788095236212929,904,25,32,139152,668258,true,
1788095237314444,263,25,32,141545,648333,true,
1788095238268124,441,25,32,138974,666140,true,
1788095244145920,765,25,32,139191,651755,true,
1788095246664509,380,25,32,141479,669490,true,
1788095247021549,624,25,32,448740,961566,true,
