intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788100718180914,540,425,32,3520034,4400074,false,
1788100719892538,1075,425,32,6421411,7393730,false,
1788100720501210,785,425,32,10479723,11309674,false,
1788100722277789,436,425,32,13074624,14003161,false,
1788100724474781,513,425,32,15189821,15967114,true,
1788100725926560,389,425,32,18011450,18807224,true,
1788100727095455,608,425,32,21050937,21886125,true,
1788100728824855,183,425,32,23568749,24394150,true,
1788100728994868,39,425,32,27653994,28470374,true,
1788100729565425,84,425,32,31512319,32328458,true,
1788100730335852,184,425,32,35026319,35822560,true,
1788100731692259,501,425,32,37861031,38656624,true,
1788100732082770,479,425,32,41691550,42495932,true,
1788100732287605,1047,425,32,45755027,46683086,true,
1788100733184532,602,425,32,49657048,50481963,true,
1788100733536839,94,425,32,53464934,54370060,true,
1788100733898769,721,425,32,57442953,58222632,true,
1788100735540964,179,425,32,59816211,60588628,true,
1788100740470509,778,425,32,58924601,59707628,true,
1788100745363386,379,425,32,58102033,58885778,true,
1788100749901938,458,425,32,57647361,58429181,true,
1788100750772365,388,425,32,60847542,61716185,true,
1788100751590354,644,425,32,64314328,65092271,true,
1788100751968357,345,425,32,68036996,68827432,true,
1788100753364891,882,425,32,70834071,71647802,true,
1788100755698285,319,425,32,72795336,73604143,true,
1788100755862535,438,425,32,76827864,77697829,true,
1788100756477016,383,425,32,80454975,81259207,true,
1788100756679109,399,425,32,84648145,85487788,true,
1788100757833984,941,425,32,87706135,88537612,true,
1788100761179010,631,425,32,88417718,89223907,true,
1788100761271128,714,425,32,92348088,93098612,true,
