intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788101100440177,580,425,32,2829434,3635034,false,
1788101102217666,24,425,32,5314134,6124084,true,
1788101102599521,282,425,32,9167482,9971633,true,
1788101106530693,616,425,32,9454672,10259443,true,
1788101110579587,424,425,32,9623351,10426320,true,
1788101116302544,885,425,32,8123421,8928580,true,
1788101116904652,88,425,32,11777656,12618192,true,
1788101118304098,493,425,32,14832983,15645766,true,
1788101119184415,196,425,32,18170785,18981223,true,
1788101120753182,607,425,32,21032393,21884049,true,
1788101120975762,305,425,32,25653588,26837065,true,
1788101123050441,849,425,32,28632867,29678671,true,
1788101123962273,934,425,32,32620508,33490312,true,
1788101124310251,1040,425,32,36554345,37473653,true,
1788101124398144,415,425,32,41646677,42588316,true,
1788101127769779,295,425,32,42747041,43596983,true,
1788101127962306,729,425,32,47116943,48005927,true,
1788101128660469,600,425,32,51037697,51979152,true,
1788101135049630,560,425,32,49394501,50278782,true,
1788101135319700,970,425,32,53730306,54542214,true,
1788101137409125,721,425,32,56205063,57091655,true,
1788101139095466,829,425,32,59024727,59833407,true,
1788101139706191,857,425,32,62722843,63530241,true,
1788101140273278,489,425,32,66790002,67616086,true,
