intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096185390418,877,25,32,189789,869740,false,
1788096187141922,219,25,32,175353,788277,false,
1788096188472831,159,25,32,174707,780245,false,
1788096189248132,693,25,32,202691,833580,false,
1788096192146429,677,25,32,177692,783298,true,
1788096192622112,689,25,32,497300,1114771,true,
1788096194948740,396,25,32,172204,783729,true,
1788096195838344,70,25,32,188237,810267,true,
1788096196615392,560,25,32,235631,940711,true,
1788096197148219,489,25,32,647443,1401978,true,
1788096197703471,704,25,32,1086742,1837861,true,
1788096200412377,260,25,32,181543,819637,true,
1788096203553248,60,25,32,174995,783269,true,
1788096203908271,84,25,32,629310,1247451,true,
1788096204491031,446,25,32,866209,1587708,true,
1788096204931148,342,25,32,1390236,2152334,true,
1788096205320631,947,25,32,2000278,2759722,true,
1788096205941058,359,25,32,2381320,3133846,true,
1788096209566231,204,25,32,179845,889022,true,
1788096211050993,799,25,32,178574,871894,true,
1788096211789544,486,25,32,375747,1134187,true,
1788096212170107,380,25,32,993328,1745386,true,
1788096212514009,374,25,32,1648390,2402018,true,
1788096215269068,945,25,32,181568,908711,true,
1788096215920864,488,25,32,496665,1252859,true,
1788096217071759,719,25,32,343353,1104950,true,
1788096217864775,535,25,32,553676,1304265,true,
1788096218251861,1050,25,32,1162459,1917190,true,
1788096218767883,105,25,32,1639849,2393885,true,
1788096220421681,194,25,32,981276,1739893,true,
1788096220947163,178,25,32,1454586,2205035,true,
1788096222310581,726,25,32,1081924,1822910,true,
1788096223177633,195,25,32,1198322,1939542,true,
1788096224430449,34,25,32,923226,1667064,true,
1788096225846506,340,25,32,497167,1244407,true,
