intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095548018121,183,105,32,570142,1150905,false,
1788095549116429,665,105,32,756570,1465755,false,
1788095549355043,1062,105,32,2032225,2740929,false,
1788095554450354,100,105,32,548754,1126445,true,
1788095554615114,549,105,32,1573006,2270177,true,
1788095555310503,682,105,32,2354752,3066567,true,
1788095555859054,965,105,32,3277335,3984461,true,
1788095561312378,1006,105,32,547726,1158428,true,
1788095564512476,115,105,32,540631,1133527,true,
1788095564514941,954,105,32,1815579,2514545,true,
1788095569703113,316,105,32,551993,1127480,true,
1788095571374249,1027,105,32,558864,1203627,true,
1788095572760414,66,105,32,726797,1431248,true,
1788095573451112,660,105,32,1502314,2217291,true,
1788095576244269,928,105,32,626874,1348217,true,
1788095576874407,842,105,32,1482132,2184766,true,
1788095578651766,969,105,32,1218520,1970625,true,
1788095585727958,12,105,32,591146,1190952,true,
1788095588566935,665,105,32,692189,1304776,true,
