intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095759361845,907,425,32,2345414,3111630,false,
1788095759367292,435,425,32,6123844,6882002,false,
1788095761113557,79,425,32,8148464,8912546,true,
1788095763960981,385,425,32,9061858,9814134,true,
1788095769124587,429,425,32,7646742,8399156,true,
1788095770931060,83,425,32,9569963,10325019,true,
1788095771005563,620,425,32,13226760,14003870,true,
1788095771155161,453,425,32,16826117,17572011,true,
1788095771695650,823,425,32,19999848,20751350,true,
1788095780664376,886,425,32,14764319,15516489,true,
1788095782275333,619,425,32,16887331,17629844,true,
1788095783149813,42,425,32,19721277,20476365,true,
1788095783565397,299,425,32,23020633,23780190,true,
1788095784316834,377,425,32,25999296,26744561,true,
1788095784699341,917,425,32,29335666,30089155,true,
1788095784738854,941,425,32,33026180,33774313,true,
1788095787656148,304,425,32,33830908,34571027,true,
1788095789986566,242,425,32,35194375,35958101,true,
1788095790218672,359,425,32,38671532,39429050,true,
1788095794662957,309,425,32,37922382,38673986,true,
1788095795689984,152,425,32,40603828,41352259,true,
1788095798766312,380,425,32,41227258,41983035,true,
