intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788096434180085,375,105,32,937431,1790880,false,
1788096434587703,918,105,32,2619368,3484870,false,
1788096435379687,946,105,32,3858413,4614701,false,
1788096437706086,680,105,32,3168861,3927373,false,
1788096440175494,1045,105,32,2352754,3117888,true,
1788096441405311,469,105,32,2767404,3531958,true,
1788096442217224,645,105,32,3599310,4355257,true,
1788096443243020,234,105,32,4213202,4970953,true,
1788096449870632,257,105,32,684653,1316279,true,
1788096452111008,746,105,32,688074,1369557,true,
1788096452587555,342,105,32,1770155,2541324,true,
1788096452688092,594,105,32,3325219,4084476,true,
1788096454314358,968,105,32,3325855,4076859,true,
1788096456218535,74,105,32,3039152,3793173,true,
1788096457542671,754,105,32,3349530,4110663,true,
1788096463975905,117,105,32,674608,1311912,true,
1788096464903747,793,105,32,1111590,1808204,true,
1788096468477305,513,105,32,683133,1313917,true,
1788096468493797,421,105,32,2127186,2896496,true,
1788096469870121,701,105,32,2408781,3168021,true,
1788096473953619,784,105,32,670779,1398207,true,
1788096474535266,833,105,32,1702293,2463856,true,
