intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788100858679662,618,425,32,3249734,4033390,false,
1788100859910753,254,425,32,6043473,6812598,false,
1788100861269268,948,425,32,8713375,9509160,false,
1788100862495444,57,425,32,11520349,12282682,false,
1788100862874648,8,425,32,15233360,16005274,true,
1788100864360718,303,425,32,17841084,18621622,true,
1788100867787067,971,425,32,18685372,19614950,true,
1788100868628733,284,425,32,22408056,23258065,true,
1788100873373378,967,425,32,22083860,22877901,true,
1788100877350381,757,425,32,22212875,22989123,true,
1788100877717764,701,425,32,25959485,26770854,true,
1788100877825048,490,425,32,30085851,30871178,true,
1788100879935400,419,425,32,32161120,33005396,true,
1788100880758092,901,425,32,35895620,36701033,true,
1788100882386523,235,425,32,38534314,39418727,true,
1788100884658179,799,425,32,41049428,41932245,true,
1788100884893284,77,425,32,45315277,46199493,true,
1788100886290345,744,425,32,48590988,49463373,true,
1788100888958352,638,425,32,50408504,51247201,true,
1788100890449047,393,425,32,53524239,54462611,true,
1788100890863154,673,425,32,57720505,58528468,true,
1788100891627530,50,425,32,61392909,62215626,true,
1788100893233004,408,425,32,64187970,64988711,true,
1788100893927793,522,425,32,67713267,68513510,true,
1788100895785935,970,425,32,70121136,70989100,true,
1788100898152290,63,425,32,72111873,72996634,true,
1788100899108184,200,425,32,75643530,76474370,true,
1788100899947767,56,425,32,79242537,80048034,true,
1788100901856491,278,425,32,81631096,82465418,true,
1788100902163963,719,425,32,85803035,86604641,true,
1788100902657970,636,425,32,89522417,90325617,true,
