intended_unix_us,drift_us,prompt_tokens,tokens,ttft_us,e2e_us,recorded,error
1788095498575823,228,105,32,548206,1132142,false,
1788095498717862,292,105,32,1617037,2346810,false,
1788095506000437,951,105,32,545671,1119803,true,
1788095506263671,345,105,32,1442443,2012726,true,
1788095506709294,78,105,32,2171229,2786411,true,
1788095511273160,544,105,32,551944,1134026,true,
1788095513430649,764,105,32,562466,1230647,true,
1788095515107588,875,105,32,647564,1354813,true,
1788095515142094,923,105,32,2092594,2799607,true,
1788095517088151,967,105,32,1618760,2327184,true,
1788095518569344,993,105,32,1605085,2316131,true,
1788095520822790,13,105,32,822253,1523899,true,
1788095521303719,686,105,32,1809405,2514446,true,
1788095536499081,865,105,32,529999,1081484,true,
1788095536608729,146,105,32,1528261,2086044,true,
1788095536997174,775,105,32,2271565,2832455,true,
1788095537897806,206,105,32,2517204,3089324,true,
1788095537986080,791,105,32,3598924,4170908,true,
